iter	Passed	Remaining
0	140	140757
1	141	70708
2	142	47397
3	143	35693
4	144	28672
5	144	23991
6	145	20662
7	146	18153
8	147	16199
9	147	14636
10	148	13354
11	149	12288
12	150	11388
13	150	10614
14	151	9946
15	152	9359
16	152	8839
17	153	8377
18	154	7957
19	154	7585
20	155	7251
21	156	6948
22	156	6668
23	157	6413
24	158	6178
25	159	5959
26	159	5756
27	160	5566
28	160	5389
29	161	5223
30	162	5069
31	162	4922
32	163	4786
33	164	4660
34	164	4541
35	165	4431
36	166	4324
37	166	4222
38	167	4126
39	168	4034
40	168	3948
41	169	3865
42	170	3790
43	170	3715
44	171	3643
45	172	3574
46	172	3506
47	173	3442
48	174	3381
49	174	3322
50	175	3266
51	176	3212
52	176	3160
53	177	3109
54	178	3061
55	178	3013
56	179	2969
57	180	2924
58	180	2882
59	181	2841
60	182	2803
61	182	2765
62	183	2728
63	184	2693
64	184	2659
65	185	2626
66	186	2594
67	186	2558
68	187	2528
69	188	2500
70	188	2472
71	189	2444
72	190	2417
73	191	2390
74	191	2365
75	192	2339
76	193	2315
77	193	2291
78	194	2269
79	195	2246
80	196	2224
81	196	2202
82	197	2181
83	198	2161
84	198	2138
85	199	2119
86	199	2097
87	200	2080
88	201	2063
89	202	2045
90	203	2028
91	203	2011
92	204	1995
93	205	1978
94	206	1963
95	206	1948
96	207	1932
97	208	1917
98	209	1902
99	209	1887
100	210	1872
101	210	1855
102	211	1840
103	211	1825
104	212	1811
105	213	1797
106	213	1784
107	214	1770
108	215	1757
109	215	1744
110	216	1731
111	216	1718
112	217	1706
113	217	1693
114	218	1681
115	219	1669
116	219	1659
117	220	1648
118	220	1635
119	221	1625
120	222	1614
121	222	1603
122	223	1590
123	223	1580
124	224	1569
125	224	1559
126	225	1550
127	225	1539
128	226	1529
129	227	1520
130	227	1510
131	228	1501
132	228	1491
133	229	1482
134	229	1473
135	230	1464
136	231	1455
137	231	1447
138	232	1439
139	232	1431
140	233	1423
141	234	1416
